add-none,2,100,400,101000,252,0
add-none,2,1000,4000,108000,27,-263
add-none,2,10000,40000,596000,14,3127
add-none,2,100000,400000,4744000,11,14836
add-none,4,100,800,118000,147,-47
add-none,4,1000,8000,173000,21,65
add-none,4,10000,80000,1130000,14,-463
add-none,4,100000,800000,10423000,13,-3109
add-none,8,100,1600,216000,135,47
add-none,8,1000,16000,245000,15,214
add-none,8,10000,160000,2175000,13,-4742
add-none,8,100000,1600000,23041000,14,-76724
add-none,12,100,2400,272000,113,0
add-none,12,1000,24000,583000,24,231
add-none,12,10000,240000,4320000,18,8876
add-none,12,100000,2400000,33675000,14,-67116
add-yield-none,2,10,40,129000,3225,0
add-yield-none,4,10,80,185000,2312,0
add-yield-none,8,10,160,409000,2556,2
add-yield-none,12,10,240,482000,2008,9
add-yield-none,2,20,80,125000,1562,0
add-yield-none,4,20,160,213000,1331,0
add-yield-none,8,20,320,559000,1746,1
add-yield-none,12,20,480,1808000,3766,3
add-yield-none,2,40,160,158000,987,27
add-yield-none,4,40,320,237000,740,2
add-yield-none,8,40,640,835000,1304,3
add-yield-none,12,40,960,1277000,1330,4
add-yield-none,2,80,320,132000,412,0
add-yield-none,4,80,640,712000,1112,0
add-yield-none,8,80,1280,1519000,1186,0
add-yield-none,12,80,1920,2210000,1151,0
add-yield-none,2,100,400,165000,412,-120
add-yield-none,4,100,800,260000,325,4
add-yield-none,8,100,1600,2147000,1341,-7
add-yield-none,12,100,2400,3672000,1530,5
add-yield-none,2,1000,4000,483000,120,-9
add-yield-none,4,1000,8000,7031000,878,-1
add-yield-none,8,1000,16000,18125000,1132,-40
add-yield-none,12,1000,24000,27160000,1131,-71
add-yield-none,2,10000,40000,4097000,102,-494
add-yield-none,4,10000,80000,11528000,144,-534
add-yield-none,8,10000,160000,169154000,1057,-199
add-yield-none,12,10000,240000,253268000,1055,-102
add-yield-none,2,100000,400000,37680000,94,6
add-yield-none,4,100000,800000,82462000,103,-1648
add-yield-none,8,100000,1600000,1687489000,1054,-2228
add-yield-none,12,100000,2400000,2530279000,1054,-615
add-none,1,100,200,71000,355,0
add-none,1,1000,2000,98000,49,0
add-none,1,10000,20000,168000,8,0
add-none,1,100000,200000,958000,4,0
add-none,1,1000000,2000000,9497000,4,0
add-none,2,100,400,115000,287,0
add-none,2,1000,4000,113000,28,-150
add-none,2,10000,40000,603000,15,-2983
add-none,2,100000,400000,5271000,13,-54481
add-none,2,1000000,4000000,52352000,13,-177638
add-none,4,100,800,122000,152,3
add-none,4,1000,8000,193000,24,377
add-none,4,10000,80000,1171000,14,-470
add-none,4,100000,800000,10302000,12,-95182
add-none,4,1000000,8000000,109824000,13,-79313
add-yield-none,1,100,200,99000,495,0
add-yield-none,1,1000,2000,518000,259,0
add-yield-none,1,10000,20000,3413000,170,0
add-yield-none,1,100000,200000,32901000,164,0
add-yield-none,1,1000000,2000000,321360000,160,0
add-yield-none,2,100,400,168000,420,0
add-yield-none,2,1000,4000,513000,128,0
add-yield-none,2,10000,40000,3783000,94,-87
add-yield-none,2,100000,400000,45726000,114,-2721
add-yield-none,2,1000000,4000000,439698000,109,-18622
add-yield-none,4,100,800,443000,553,-24
add-yield-none,4,1000,8000,2822000,352,-217
add-yield-none,4,10000,80000,5149000,64,-105
add-yield-none,4,100000,800000,68074000,85,-3093
add-yield-none,4,1000000,8000000,611180000,76,-21141
add-yield-m,2,10000,40000,176406000,4410,0
add-yield-m,4,10000,80000,339496000,4243,0
add-yield-m,8,10000,160000,977463000,6109,0
add-yield-m,12,10000,240000,1155388000,4814,0
add-yield-c,2,10000,40000,2607000,65,0
add-yield-c,4,10000,80000,5522000,69,0
add-yield-c,8,10000,160000,13332000,83,0
add-yield-c,12,10000,240000,18471000,76,0
add-yield-s,2,10000,40000,10384000,259,0
add-yield-s,4,10000,80000,25820000,322,0
add-yield-s,8,1000,16000,175344970000,10959060,0
add-yield-s,12,1000,24000,281546927000,11731121,0
add-m,1,10000,20000,612000,30,0
add-m,2,10000,40000,151793000,3794,0
add-m,4,10000,80000,329289000,4116,0
add-m,8,10000,160000,683343000,4270,0
add-m,12,10000,240000,1028172000,4284,0
add-c,1,10000,20000,339000,16,0
add-c,2,10000,40000,786000,19,0
add-c,4,10000,80000,6750000,84,0
add-c,8,10000,160000,12664000,79,0
add-c,12,10000,240000,20863000,86,0
add-s,1,10000,20000,318000,15,0
add-s,2,10000,40000,2300000,57,0
add-s,4,10000,80000,9135000,114,0
add-s,8,10000,160000,22035000,137,0
add-s,12,10000,240000,24189000,100,0
